,OportunidadAsignada,Seleccionada1,Comparacion
0,EUA-5INT-020V,EUA-5INT-020V,True
1,FRA-5INT-071B,FRA-5INT-072D,False
2,ESP-5SA-059,ESP-5SA-059,True
3,SVK-5SA-001,SVK-5SA-001,True
4,ALE-5INT-030D,CZE-5INT-009,False
5,FRA-5INT-061C,FRA-5INT-061C,True
6,FRA-3SA-008C,FRA-3SA-008C,True
7,FRA-3SA-008C,FRA-3SA-008C,True
8,ALE-V3SA-014K,ALE-V3SA-014K,True
9,ALE-V3SA-014I,ALE-V3SA-014I,True
10,FRA-V3SA-010H,FRA-V3SA-010H,True
11,FRA-V3SA-010I,FRA-V3SA-010I,True
12,ITA-V3SA-015M,ITA-V3SA-015M,True
13,FRA-V3SA-010J,FRA-V3SA-010J,True
14,EUA-V5SA-320A,EUA-V5SA-320A,True
15,ITA-V3SA-025,ITA-V3SA-025,True
16,CAN-3SA-021D,CAN-3SA-021D,True
17,FRA-3SA-010A,FRA-3SA-010A,True
18,ING-V3SA-005B,ING-V3SA-005B,True
19,FRA-V3SA-014A,FRA-V3SA-014A,True
20,EUA-V3SA-274B,EUA-V3SA-274B,True
21,ESP-V5SA-093J,ESP-V5SA-093J,True
22,ESP-V3SA-064A,ESP-V3SA-064A,True
23,ESP-V5SA-027B,ESP-V5SA-027B,True
24,ESP-V5SA-321A,ESP-V5SA-321A,True
25,EUA-V5SA-028B,EUA-V5SA-028B,True
26,MEX-V5SA-029A,MEX-V5SA-029A,True
27,CAN-3SA-009C,CAN-3SA-009C,True
28,SVK-V5SA-001D,SVK-V5SA-001D,True
29,ESP-V5SA-095C,ESP-V5SA-095C,True
30,CUB-V5SA-001,CUB-V5SA-001,True
31,MEX-V5SA-029A,MEX-V5SA-029A,True
32,MEX-5PP-001A,MEX-5PP-001A,True
33,ALE-5INP-005C,ALE-5INP-005C,True
34,MEX-5INP-029,MEX-5INP-029,True
35,ESP-5SA-058,ESP-5SA-058,True
36,MEX-I3SA-325D,MEX-I3SA-325D,True
37,MEX-I3SA-334A,MEX-I3SA-334A,True
38,MEX-I3SA-325A,MEX-I3SA-325A,True
39,MEX-I3SA-333A,MEX-I3SA-333A,True
40,MEX-I3SA-333A,MEX-I3SA-333A,True
41,FRA-3SA-008C,FRA-3SA-008C,True
42,ESP-I5SA-027C,ESP-I5SA-027C,True
43,SUI-3SA-009A,SUI-3SA-009A,True
44,ALE-3SA-014C,ALE-3SA-014C,True
45,MEX-5PP-260B,MEX-5PP-260B,True
46,SIN-5INT-004,CHN-5INT-221A,False
47,MEX-5PP-001A,MEX-5PP-001A,True
48,ALE-V3SA-014K,ALE-V3SA-014K,True
49,ALE-V3SA-014K,ALE-V3SA-014K,True
50,CAN-V3SA-021F,CAN-V3SA-021F,True
51,ESP-V3SA-038H,ESP-V3SA-038H,True
52,FRA-V3SA-010I,FRA-V3SA-010I,True
53,FRA-3SA-096A,FRA-3SA-096A,True
54,ALE-5INT-013,ALE-5INT-013,True
55,CAN-V5SA-076G,CAN-V5SA-076G,True
56,COR-V5SA-002A,COR-V5SA-002A,True
57,MEX-V3SA-344C,MEX-V3SA-344C,True
58,FRA-V3SA-075A,FRA-V3SA-075A,True
59,ESP-V5SA-095D,ESP-V5SA-095D,True
60,CZE-V5SA-010A,CZE-V5SA-010A,True
61,PRC-V5CE-001A,PRC-V5CE-001A,True
62,CAN-V3SA-100A,CAN-V3SA-100A,True
63,ESP-V5SA-320D,ESP-V5SA-320D,True
64,ESP-V5SA-320D,ESP-V5SA-320D,True
65,CZE-V5SA-010B,CZE-V5SA-010B,True
66,CAN-V5SA-063O,CAN-V5SA-063O,True
67,CZE-V5SA-001I,CZE-V5SA-001I,True
68,CHN-V3SA-002,CHN-V3SA-002,True
69,FRA-V3SA-159A,FRA-V3SA-159A,True
70,BEL-V5SA-002,BEL-V5SA-002,True
71,EUA-V5SA-350A,EUA-V5SA-350A,True
72,ALE-5INT-003,ALE-5INT-003,True
73,FRA-3SA-010B,FRA-3SA-010B,True
74,SVN-V5SA-001D,SVN-V5SA-001D,True
75,ALE-5INP-005C,ALE-5INP-005C,True
76,FIN-5INT-023C,EUA-5INT-295C,False
77,ALE-5INP-005C,ALE-5INP-005C,True
78,ALE-5INP-005C,ALE-5INP-005C,True
79,SVK-V5SA-001E,SVK-V5SA-001E,True
80,ALE-5INP-067A,ALE-5INP-067A,True
81,ALE-5INP-005C,ALE-5INP-005C,True
82,ESP-5SA-057A,ESP-5SA-057A,True
83,ESP-5SA-057A,ESP-5SA-057A,True
84,FRA-5INT-112,FRA-5INT-112,True
85,ESP-5SA-057A,ESP-5SA-057A,True
86,ESP-5INT-083,ESP-5INT-057B,False
