,Pais,Número de Estudiantes
0,Argentina,339
1,Australia,716
2,Austria,68
3,Belgium,217
4,Brazil,19
5,Canada,3214
6,Chile,520
7,China,612
8,Colombia,444
9,Costa Rica,13
10,Croatia,78
11,Cuba,20
12,Czech Republic,1634
13,Denmark,108
14,Dominican Republic,1
15,Ecuador,10
16,England,963
17,Eslovaquia,241
18,Finland,180
19,France,2784
20,Germany,2295
21,HOL,180
22,Hong Kong,6
23,Hungary,62
24,IND,3
25,Iceland,2
26,Indonesia,4
27,Ireland,19
28,Israel,16
29,Italy,1297
30,Japan,228
31,Latvia,29
32,Lithuania,3
33,Mexico,1672
34,Model United Nations,45
35,New Zeland,23
36,Norway,26
37,Otro,5
38,Panama,14
39,Peru,7
40,Poland,171
41,Portugal,53
42,Puerto Rico,10
43,Russia,86
44,Serbian,38
45,Singapur,25
46,Slovakia,67
47,South Korea,273
48,Spain,5468
49,Sweden,172
50,Switzerland,387
51,Thailand,44
52,Turkey,46
53,United Arab Emirates,28
54,United States of America,1411
55,Uruguay,67
