,Campus,Número de Estudiantes
0,Aguascalientes,297
1,Central de Veracruz,35
2,Chiapas,24
3,Chihuahua,535
4,Ciudad Juárez,129
5,Ciudad Matamoros,6
6,Ciudad Obregón,26
7,Ciudad de México,2308
8,Cuernavaca,292
9,Cumbres,10
10,EGADE Ciudad de México,2
11,EGADE Monterrey,157
12,EGADE Santa Fe,97
13,EGAP Monterrey,15
14,EGAP Santa Fe,18
15,Estado de México,1684
16,Eugenio Garza Lagüera,10
17,Eugenio Garza Sada,8
18,Guadalajara,2703
19,Hidalgo,286
20,Irapuato,35
21,Laguna,337
22,León,551
23,Monterrey,7679
24,Morelia,159
25,Puebla,1350
26,Querétaro,2198
27,Saltillo,162
28,San Luis Potosí,639
29,Santa Catarina,56
30,Santa Fe,2486
31,Sinaloa,191
32,Sonora Norte,426
33,Tampico,250
34,Toluca,759
35,Universidad Virtual en Línea,126
36,Valle Alto,18
37,Zacatecas,40
